"용도별","시점",전가구,전가구
"용도별","시점",양곡계,쌀
"계","1997.11",307.8,277.8
"계","1997.12",305.7,275.3
"계","1998.01",322.9,285.7
"계","1998.02",317.5,266.7
"계","1998.03",311.1,273.1
"계","1998.04",302.6,273.4
"계","1998.05",296.5,270.3
"계","1998.06",302.8,272.4
"계","1998.07",301.4,265.2
"계","1998.08",298.4,264.1
"계","1998.09",298.2,265.6
"계","1998.10",306.2,270.3
"계","1998.11",302.0,267.9
"계","1998.12",300.0,266.5
"계","1999.01",295.8,264.9
"계","1999.02",323.4,282.3
"계","1999.03",308.6,266.7
"계","1999.04",295.3,267.7
"계","1999.05",291.2,266.2
"계","1999.06",291.4,262.2
"계","1999.07",291.4,258.5
"계","1999.08",289.6,256.4
"계","1999.09",302.3,267.8
"계","1999.10",290.0,258.1
"계","1999.11",306.4,262.5
"계","1999.12",302.4,260.3
"계","2000.01",292.0,260.4
"계","2000.02",328.8,285.5
"계","2000.03",285.6,255.9
"계","2000.04",286.8,258.1
"계","2000.05",279.9,253.0
"계","2000.06",285.0,252.7
"계","2000.07",281.5,247.4
"계","2000.08",279.0,243.1
"계","2000.09",291.9,254.4
"계","2000.10",281.8,246.3
"계","2000.11",292.2,249.0
"계","2000.12",290.7,245.6
"계","2001.01",291.6,256.8
"계","2001.02",279.5,245.9
"계","2001.03",269.7,241.1
"계","2001.04",270.6,243.8
"계","2001.05",268.1,241.6
"계","2001.06",272.3,241.4
"계","2001.07",271.0,238.8
"계","2001.08",271.8,236.6
"계","2001.09",281.1,245.0
"계","2001.10",274.1,240.4
"계","2001.11",284.7,242.6
"계","2001.12",280.3,239.3
"계","2002.01",267.3,238.4
"계","2002.02",296.6,257.6
"계","2002.03",265.8,237.2
"계","2002.04",264.7,237.9
"계","2002.05",262.8,235.5
"계","2002.06",267.2,236.2
"계","2002.07",265.3,232.3
"계","2002.08",264.8,231.9
"계","2002.09",277.0,240.6
"계","2002.10",264.8,233.6
"계","2002.11",279.4,237.0
"계","2002.12",272.9,235.5
"계","2003.01",258.6,238.1
"계","2003.02",250.4,230.1
"계","2003.03",239.5,223.1
"계","2003.04",247.1,229.3
"계","2003.05",241.1,224.3
"계","2003.06",244.9,225.0
"계","2003.07",242.6,219.9
"계","2003.08",242.4,220.1
"계","2003.09",251.7,228.3
"계","2003.10",246.6,223.2
"계","2003.11",258.8,227.5
"계","2003.12",252.6,226.2
"계","2004.01",262.1,238.0
"계","2004.02",248.4,225.9
"계","2004.03",240.5,222.7
"계","2004.04",242.4,225.0
"계","2004.05",238.7,221.7
"계","2004.06",242.6,222.9
"계","2004.07",240.9,219.8
"계","2004.08",239.7,218.3
"계","2004.09",251.9,227.5
"계","2004.10",241.4,219.2
"계","2004.11",259.5,224.1
